12|ACAJETE
6|ACATENO
23|ACATLAN
13|ACATZINGO
22|ACTEOPAN
3|AHUACATLAN
23|AHUATLAN
2|AHUAZOTEPEC
23|AHUEHUETITLA
26|AJALPAN
23|ALBINO ZERTUCHE
14|ALJOJUCA
26|ALTEPEXI
3|AMIXTLAN
12|AMOZOC
3|AQUIXTLA
6|ATEMPAN
24|ATEXCAL
21|ATLIXCO
13|ATOYATEMPAN
22|ATZALA
22|ATZITZIHUACAN
14|ATZITZINTLA
23|AXUTLA
6|AYOTOXCO DE GUERRERO
8|CALPAN
24|CALTEPEC
3|CAMOCUAUTLA
15|CAÑADA MORELOS
4|CAXHUACAN
3|COATEPEC
23|COATZINGO
23|COHETZALA
22|COHUECAN
8|CORONANGO
26|COXCATLAN
26|COYOMEAPAN
24|COYOTEPEC
13|CUAPIAXTLA DE MADERO
3|CUAUTEMPAN
12|CUAUTINCHAN
9|CUAUTLANCINGO
23|CUAYUCA DE ANDRADE
4|CUETZALAN DEL PROGRESO
5|CUYOACO
14|CHALCHICOMULA DE SESMA
25|CHAPULCO
23|CHIAUTLA
8|CHIAUTZINGO
2|CHICONCUAUTLA
5|CHICHIQUILA
22|CHIETLA
23|CHIGMECATITLAN
3|CHIGNAHUAPAN
6|CHIGNAUTLA
23|CHILA
23|CHILA DE LA SAL
1|HONEY
5|CHILCHOTLA
23|CHINANTLA
8|DOMINGO ARENAS
26|ELOXOCHITLAN
22|EPATLAN
14|ESPERANZA
1|FRANCISCO Z. MENA
14|GENERAL FELIPE ANGELES
23|GUADALUPE
5|GUADALUPE VICTORIA
3|HERMENEGILDO GALEANA
22|HUAQUECHULA
23|HUATLATLAUCA
2|HUAUCHINANGO
4|HUEHUETLA
23|HUEHUETLAN EL CHICO
23|HUEHUETLAN EL GRANDE
8|HUEJOTZINGO
4|HUEYAPAN
6|HUEYTAMALCO
4|HUEYTLALPAN
3|HUITZILAN DE SERDAN
13|HUITZILTEPEC
4|ATLEQUIZAYAN
23|IXCAMILPA DE GUERRERO
24|IXCAQUIXTLA
3|IXTACAMAXTITLAN
4|IXTEPEC
22|IZUCAR DE MATAMOROS
1|JALPAN
23|JOLALPAN
4|JONOTLA
1|JOPALA
8|JUAN C. BONILLA
2|JUAN GALINDO
24|JUAN N. MENDEZ
5|LAFRAGUA
5|LIBRES
23|LA MAGDALENA TLATLAUQUITEPEC
14|MAZAPILTEPEC DE JUAREZ
13|MIXTLA
24|MOLCAXAC
1|NAUPAN
4|NAUZONTLA
21|NEALTICAN
25|NICOLAS BRAVO
14|NOPALUCAN
5|OCOTEPEC
21|OCOYUCAN
4|OLINTLA
14|ORIENTAL
1|PAHUATLAN
15|PALMAR DE BRAVO
1|PANTEPEC
23|PETLALCINGO
23|PIAXTLA
17|PUEBLA 17
9|PUEBLA 09
10|PUEBLA 10
19|PUEBLA 19
20|PUEBLA 20
16|PUEBLA 16
11|PUEBLA 11
15|QUECHOLAC
5|QUIMIXTLAN
14|RAFAEL LARA GRAJALES
13|LOS REYES DE JUAREZ
18|SAN ANDRES CHOLULA
26|SAN ANTONIO CAÑADA
23|SAN DIEGO LA MESA TOCHIMILTZINGO
7|SAN FELIPE TEOTLALCINGO
3|SAN FELIPE TEPATLAN
26|SAN GABRIEL CHILAC
21|SAN GREGORIO ATZOMPA
21|SAN JERONIMO TECUANIPAN
23|SAN JERONIMO XAYACATLAN
14|SAN JOSE CHIAPA
26|SAN JOSE MIAHUATLAN
14|SAN JUAN ATENCO
23|SAN JUAN ATZOMPA
7|SAN MARTIN TEXMELUCAN
23|SAN MARTIN TOTOLTEPEC
7|SAN MATIAS TLALANCALECA
23|SAN MIGUEL IXITLAN
8|SAN MIGUEL XOXTLA
14|SAN NICOLAS BUENOS AIRES
22|SAN NICOLAS DE LOS RANCHOS
23|SAN PABLO ANICANO
18|SAN PEDRO CHOLULA
23|SAN PEDRO YELOIXTLAHUACA
14|SAN SALVADOR EL SECO
7|SAN SALVADOR EL VERDE
15|SAN SALVADOR HUIXCOLOTLA
23|SANTA CATARINA TLALTEMPAN
23|SANTA INES AHUATEMPAN
21|SANTA ISABEL CHOLULA
25|SANTIAGO MIAHUATLAN
13|SANTO TOMAS HUEYOTLIPAN
14|SOLTEPEC
12|TECALI DE HERRERA
15|TECAMACHALCO
23|TECOMATLAN
25|TEHUACAN B
24|TEHUACAN A
23|TEHUITZINGO
6|TENAMPULCO
23|TEOPANTLAN
23|TEOTLALCO
24|TEPANCO DE LOPEZ
3|TEPANGO DE RODRIGUEZ
12|TEPATLAXCO DE HIDALGO
13|TEPEACA
22|TEPEMAXALCO
22|TEPEOJUMA
3|TEPETZINTLA
22|TEPEXCO
23|TEPEXI DE RODRIGUEZ
5|TEPEYAHUALCO
13|TEPEYAHUALCO DE CUAUHTEMOC
3|TETELA DE OCAMPO
6|TETELES DE AVILA CASTILLO
6|TEZIUTLAN
21|TIANGUISMANALCO
22|TILAPA
24|TLACOTEPEC DE BENITO JUAREZ
26|SAN SEBASTIAN TLACOTEPEC
1|TLACUILOTEPEC
5|TLACHICHUCA
7|TLAHUAPAN
8|TLALTENANGO
13|TLANEPANTLA
2|TLAOLA
1|TLAPACOYA
22|TLAPANALA
4|TLATLAUQUITEPEC
1|TLAXCO
22|TOCHIMILCO
13|TOCHTEPEC
23|TOTOLTEPEC DE GUERRERO
23|TULCINGO
4|TUZAMAPAN DE GALEANA
23|TZICATLACOYAN
1|VENUSTIANO CARRANZA
26|VICENTE GUERRERO
23|XAYACATLAN DE BRAVO
1|XICOTEPEC
23|XICOTLAN
5|XIUTETELCO
3|XOCHIAPULCO
23|XOCHILTEPEC
3|XOCHITLAN DE VICENTE SUAREZ
24|XOCHITLAN TODOS SANTOS
4|YAONAHUAC
15|YEHUALTEPEC
23|ZACAPALA
4|ZACAPOAXTLA
2|ZACATLAN
24|ZAPOTITLAN
3|ZAPOTITLAN DE MENDEZ
4|ZARAGOZA
3|ZAUTLA
1|ZIHUATEUTLA
26|ZINACATEPEC
3|ZONGOZOTLA
4|ZOQUIAPAN
26|ZOQUITLAN
12|PUEBLA 12
